Branch,Component,Gender,abdominalextensiondepthsitting,acromialheight,acromionradialelength,anklecircumference,thumbtipreach,tibialheight,tragiontopofhead,trochanterionheight,verticaltrunkcircumferenceusa,waistbacklength,waistbreadth,waistcircumference,waistdepth,waistfrontlengthsitting,waistheightomphalion,wristcircumference,wristheight,weight_kg,stature_m,BMI,BMI_class,Height_class,
27,Combat Support,Regular Army,Female,270,1343,308,176,739,441,122,831,1577,450,327,912,222,386,961,155,785,69.1,1.62,26.32982777,Overweight,Normal
28,Combat Service Support,Regular Army,Female,246,1386,320,178,770,465,130,873,1621,420,337,913,219,364,1011,160,822,73,1.684,25.74178661,Overweight,Normal
29,Combat Support,Regular Army,Female,209,1330,329,162,773,458,121,876,1485,413,290,821,198,330,968,154,739,61,1.619,23.27213017,Normal,Normal
30,Combat Service Support,Regular Army,Female,256,1303,296,166,734,434,136,817,1523,399,341,930,225,350,928,153,780,65.8,1.592,25.96209692,Overweight,Normal
31,Combat Support,Regular Army,Female,235,1368,312,173,747,433,123,851,1563,456,329,901,223,406,965,160,824,70.9,1.655,25.88512336,Overweight,Normal
32,Combat Support,Regular Army,Female,266,1416,333,174,808,466,126,911,1578,434,329,935,233,379,1038,160,840,72.8,1.723,24.52227873,Normal,Tall
33,Combat Service Support,Regular Army,Female,305,1385,318,194,757,465,120,859,1656,481,362,1077,290,365,1004,150,827,84.6,1.677,30.08182898,Overweight,Normal
34,Combat Support,Regular Army,Female,326,1375,311,203,760,441,130,821,1724,485,392,1112,290,367,968,156,846,94.5,1.654,34.54305929,Overweight,Normal
35,Combat Support,Regular Army,Female,205,1347,325,175,763,450,128,873,1502,412,295,812,188,323,1004,147,785,62.7,1.634,23.48353306,Normal,Normal
36,Combat Support,Regular Army,Female,243,1393,343,154,818,495,120,954,1445,415,307,869,230,338,1077,141,782,57.8,1.683,20.40608101,Normal,Normal
37,Combat Support,Regular Army,Female,197,1270,310,156,750,418,125,817,1454,437,252,712,178,341,926,148,743,52.4,1.552,21.75443724,Normal,Normal
38,Combat Service Support,Regular Army,Female,298,1341,315,173,762,458,125,861,1542,469,365,1057,292,381,959,159,799,73.2,1.617,27.99568132,Overweight,Normal
39,Combat Support,Regular Army,Female,287,1309,283,206,717,425,133,803,1677,447,332,964,254,343,930,169,817,79.1,1.588,31.36718081,Overweight,Normal
40,Combat Support,Regular Army,Female,352,1355,294,202,789,440,133,846,1750,517,374,1134,320,394,912,166,843,89.4,1.641,33.19864487,Overweight,Normal
41,Combat Support,Regular Army,Female,241,1375,308,162,772,466,128,872,1556,444,303,869,224,389,1000,154,827,68.9,1.685,24.26718559,Normal,Normal
42,Combat Support,Regular Army,Female,274,1333,312,175,734,449,126,845,1632,472,323,942,240,408,955,161,796,75.8,1.656,27.64066839,Overweight,Normal
43,Combat Support,Regular Army,Female,289,1319,303,179,806,435,138,793,1584,479,354,1019,265,365,919,165,797,73.1,1.603,28.44790783,Overweight,Normal
44,Combat Service Support,Regular Army,Female,246,1304,309,183,733,443,127,825,1574,432,315,865,212,355,963,160,780,74.8,1.608,28.92873939,Overweight,Normal
45,Combat Service Support,Regular Army,Female,277,1356,312,186,770,471,125,837,1656,431,345,975,245,379,995,162,825,80.6,1.664,29.10907452,Overweight,Normal
46,Combat Support,Regular Army,Female,230,1333,331,189,793,468,129,868,1496,398,287,814,211,310,1014,161,766,71.4,1.619,27.23983761,Overweight,Normal
47,Combat Support,Regular Army,Female,277,1350,326,182,786,462,120,896,1657,450,299,947,252,336,982,158,769,71.2,1.62,27.13001067,Overweight,Normal
48,Combat Support,Regular Army,Female,210,1405,332,176,809,484,128,923,1534,422,290,794,184,347,1067,160,819,65.7,1.72,22.20795024,Normal,Tall
49,Combat Support,Regular Army,Female,189,1300,293,150,711,446,128,834,1445,413,249,679,168,349,944,149,791,47.7,1.582,19.05923306,Normal,Normal
50,Combat Support,Regular Army,Female,225,1408,331,172,784,469,129,884,1605,470,308,890,216,391,1031,152,830,69.6,1.72,23.52623039,Normal,Tall
51,Combat Support,Regular Army,Female,358,1416,318,239,789,460,136,879,1789,532,461,1334,360,377,990,167,853,119.6,1.72,40.42725798,Overweight,Tall
52,Combat Service Support,Regular Army,Female,309,1407,346,187,839,480,126,911,1671,451,388,1076,269,357,1025,165,823,88.7,1.701,30.65596507,Overweight,Tall
53,Combat Service Support,Regular Army,Female,291,1314,300,186,739,416,131,802,1660,476,342,1007,266,421,911,154,792,75.4,1.627,28.48368931,Overweight,Normal
54,Combat Support,Regular Army,Female,238,1238,285,174,695,402,133,772,1562,442,319,897,219,373,878,156,746,67.8,1.536,28.73738607,Overweight,Small
55,Combat Service Support,Regular Army,Female,234,1247,284,159,696,411,132,768,1477,411,309,832,208,336,904,148,740,60.7,1.546,25.39625692,Overweight,Small
56,Combat Support,Regular Army,Female,204,1334,307,166,734,456,127,886,1463,406,268,766,180,330,1013,145,779,57.2,1.654,20.90860309,Normal,Normal
57,Combat Service Support,Regular Army,Female,263,1316,311,189,718,435,134,834,1565,438,311,878,218,369,960,147,766,68.9,1.605,26.74663483,Overweight,Normal
58,Combat Service Support,Regular Army,Female,236,1316,323,170,766,449,127,863,1559,427,338,943,226,385,965,152,762,71.2,1.63,26.79814822,Overweight,Normal
59,Combat Service Support,Regular Army,Female,209,1300,312,176,747,435,137,815,1515,419,303,825,186,322,966,150,776,60.4,1.612,23.24378575,Normal,Normal
60,Combat Service Support,Regular Army,Female,229,1467,337,165,805,519,130,986,1536,430,282,812,203,366,1097,155,877,69.7,1.757,22.57819685,Normal,Tall
61,Combat Service Support,Regular Army,Female,286,1391,341,191,797,458,132,886,1681,450,387,1062,260,382,1013,152,798,85.4,1.67,30.62139195,Overweight,Normal
62,Combat Service Support,Regular Army,Female,248,1335,305,162,744,431,126,809,1606,428,325,914,217,360,1004,142,813,61.7,1.632,23.16566945,Normal,Normal
63,Combat Service Support,Regular Army,Female,247,1343,310,186,769,427,133,847,1611,422,339,987,230,352,985,165,802,79,1.635,29.55231976,Overweight,Normal
64,Combat Service Support,Regular Army,Female,219,1358,310,163,779,440,125,829,1610,435,306,868,203,366,1005,152,815,67.2,1.682,23.75293554,Normal,Normal
65,Combat Service Support,Regular Army,Female,236,1383,324,176,793,419,132,859,1619,393,292,839,214,351,1017,155,836,69.5,1.661,25.19100764,Overweight,Normal
66,Combat Service Support,Regular Army,Female,227,1319,318,167,727,421,120,811,1546,401,289,814,199,357,975,156,770,66.9,1.596,26.26396819,Overweight,Normal
67,Combat Service Support,Regular Army,Female,210,1321,297,158,715,415,120,819,1495,410,288,804,187,356,953,146,794,57.4,1.596,22.53440619,Normal,Normal
68,Combat Service Support,Regular Army,Female,223,1372,326,189,766,439,125,845,1648,430,330,925,219,383,995,164,798,81.5,1.665,29.39876814,Overweight,Normal
69,Combat Support,Regular Army,Female,201,1316,303,166,764,432,129,823,1502,413,289,805,185,345,977,149,777,61.8,1.617,23.63569817,Normal,Normal
70,Combat Service Support,Regular Army,Female,223,1274,304,171,792,434,117,826,1473,361,289,811,198,326,977,149,728,64.5,1.555,26.67466217,Overweight,Normal
71,Combat Support,Regular Army,Female,198,1281,287,158,704,398,118,775,1476,419,265,757,191,345,920,145,779,55.7,1.578,22.3687233,Normal,Normal
72,Combat Support,Regular Army,Female,222,1293,304,163,773,398,146,784,1520,452,300,839,204,353,923,149,760,61.4,1.581,24.56431349,Normal,Normal
73,Combat Service Support,Regular Army,Female,225,1372,313,172,756,439,120,860,1636,440,295,821,202,388,1028,150,821,66.8,1.698,23.1686693,Normal,Normal
74,Combat Service Support,Regular Army,Female,300,1273,299,171,733,400,130,792,1633,439,340,1001,275,401,871,155,755,73,1.554,30.22879471,Overweight,Normal
75,Combat Service Support,Regular Army,Female,239,1455,334,181,834,472,134,908,1606,445,295,860,211,379,1056,150,864,73.7,1.756,23.90113169,Normal,Tall
76,Combat Service Support,Regular Army,Female,266,1299,292,176,761,401,120,770,1597,434,317,922,245,394,909,152,793,69.3,1.566,28.25853995,Overweight,Normal
77,Combat Support,Regular Army,Female,272,1350,319,193,807,459,134,878,1588,446,324,1012,289,335,996,153,786,75.7,1.651,27.77165318,Overweight,Normal
78,Combat Support,Regular Army,Female,267,1300,297,180,771,409,139,792,1646,427,340,981,246,389,907,153,785,74,1.585,29.45596035,Overweight,Normal
79,Combat Service Support,Regular Army,Female,217,1360,329,170,798,446,124,865,1533,404,308,870,204,360,1012,161,796,68.2,1.657,24.83930029,Normal,Normal
80,Combat Support,Regular Army,Female,272,1419,329,184,819,453,134,845,1683,408,315,931,221,373,1059,167,828,86.7,1.719,29.34048876,Overweight,Tall
81,Combat Service Support,Regular Army,Female,244,1508,346,190,820,489,118,964,1720,448,321,895,216,396,1135,164,908,88.2,1.822,26.5687939,Overweight,Tall
82,Combat Support,Regular Army,Female,253,1375,320,187,823,444,116,853,1639,420,317,925,235,364,1008,153,786,78.6,1.649,28.90554983,Overweight,Normal
83,Combat Service Support,Regular Army,Female,216,1376,311,160,778,440,123,864,1605,399,247,751,187,366,1049,159,852,62.2,1.687,21.85547348,Normal,Normal
84,Combat Service Support,Regular Army,Female,280,1412,329,183,804,475,120,897,1606,476,348,1019,257,393,995,154,831,78.2,1.698,27.12260388,Overweight,Normal
85,Combat Arms,Regular Army,Female,221,1222,289,174,733,415,126,799,1424,385,270,784,200,341,929,145,695,60.8,1.53,25.9729164,Overweight,Small
86,Combat Support,Regular Army,Female,217,1317,290,173,736,413,118,794,1628,406,325,917,198,371,941,152,810,67.4,1.581,26.96473501,Overweight,Normal
87,Combat Support,Regular Army,Female,246,1328,317,180,792,456,124,854,1544,412,300,865,209,355,989,155,769,68.6,1.609,26.49793482,Overweight,Normal
88,Combat Service Support,Regular Army,Female,229,1348,314,169,800,434,115,868,1547,422,280,847,210,361,989,158,779,67,1.644,24.78969459,Normal,Normal
89,Combat Service Support,Regular Army,Female,218,1244,305,178,755,424,127,821,1429,397,268,785,205,332,946,154,711,63.5,1.548,26.49914201,Overweight,Small
90,Combat Support,Regular Army,Female,263,1314,306,196,764,408,126,801,1660,476,344,1004,237,373,909,160,781,77.3,1.606,29.97011518,Overweight,Normal
91,Combat Support,Regular Army,Female,184,1346,316,152,760,421,121,861,1521,425,271,759,171,332,998,152,799,55.5,1.642,20.58480122,Normal,Normal
92,Combat Support,Regular Army,Female,262,1308,307,184,758,404,132,823,1604,421,334,955,245,361,940,155,773,72.7,1.622,27.6332974,Overweight,Normal
93,Combat Service Support,Regular Army,Female,187,1355,319,175,769,431,128,859,1532,425,236,694,165,359,1012,151,802,59.3,1.669,21.28835089,Normal,Normal
94,Combat Support,Regular Army,Female,277,1431,333,202,837,483,126,910,1726,445,367,1068,273,366,1079,167,839,99.8,1.745,32.77477196,Overweight,Tall
95,Combat Support,Regular Army,Female,257,1233,274,159,736,378,126,751,1519,428,332,948,243,375,852,144,734,58.1,1.495,25.99523495,Overweight,Small
96,Combat Support,Regular Army,Female,236,1206,277,162,719,399,120,753,1500,404,302,912,234,365,871,147,721,64.2,1.493,28.80152029,Overweight,Small
97,Combat Support,Regular Army,Female,269,1354,321,176,784,448,131,857,1593,415,353,989,232,357,976,160,809,75.8,1.641,28.14829174,Overweight,Normal
98,Combat Support,Regular Army,Female,209,1318,304,174,724,424,118,795,1590,446,314,887,213,380,933,154,779,68.3,1.607,26.44776334,Overweight,Normal
99,Combat Service Support,Regular Army,Female,183,1273,281,146,709,406,129,808,1418,412,241,698,166,330,928,145,757,47.1,1.56,19.35404339,Normal,Normal
100,Combat Arms,Regular Army,Female,224,1340,296,178,742,420,117,822,1601,429,293,822,187,399,983,154,796,66.5,1.625,25.18343195,Overweight,Normal
101,Combat Service Support,Regular Army,Female,231,1361,310,176,755,424,124,858,1626,471,314,885,201,395,975,147,812,68.5,1.67,24.56165513,Normal,Normal
102,Combat Service Support,Regular Army,Female,198,1305,294,161,763,412,133,808,1541,409,276,764,176,349,974,156,781,57.9,1.616,22.17153955,Normal,Normal
103,Combat Arms,Regular Army,Female,256,1293,295,161,748,421,117,805,1547,399,315,943,236,403,931,157,792,64.7,1.582,25.85183184,Overweight,Normal
104,Combat Service Support,Regular Army,Female,203,1427,340,156,790,474,133,920,1550,434,292,809,175,376,1064,146,813,59.1,1.73,19.74673394,Normal,Tall
105,Combat Service Support,Regular Army,Female,181,1210,273,140,670,394,120,770,1417,383,258,739,165,319,904,136,733,45,1.501,19.97335998,Normal,Small
106,Combat Service Support,Regular Army,Female,228,1253,276,155,676,380,116,751,1522,437,293,826,198,355,880,155,765,57.2,1.515,24.92130401,Normal,Small
107,Combat Support,Regular Army,Female,238,1284,302,174,748,415,116,799,1602,424,323,962,222,396,932,160,762,72.1,1.576,29.02838259,Overweight,Normal
108,Combat Service Support,Regular Army,Female,232,1338,307,174,755,446,120,877,1511,430,296,849,214,350,995,152,798,67.6,1.628,25.50573804,Overweight,Normal
109,Combat Support,Regular Army,Female,261,1302,295,169,762,401,126,790,1645,421,338,951,229,356,933,152,787,71.1,1.586,28.26592711,Overweight,Normal
110,Combat Support,Regular Army,Female,251,1414,316,184,788,466,124,878,1648,453,308,889,214,349,1057,163,865,79.1,1.737,26.2166289,Overweight,Tall
111,Combat Service Support,Regular Army,Female,222,1293,280,155,705,426,124,809,1505,404,272,790,195,368,929,152,793,53.6,1.576,21.58004587,Normal,Normal
112,Combat Support,Regular Army,Female,239,1323,303,176,782,440,120,852,1488,407,260,811,209,330,990,152,774,63.9,1.626,24.16906088,Normal,Normal
113,Combat Support,Regular Army,Female,216,1268,291,167,755,430,128,822,1447,405,283,831,200,355,962,143,751,62.8,1.604,24.40905218,Normal,Normal
114,Combat Service Support,Regular Army,Female,253,1379,311,176,780,441,140,869,1665,445,312,958,238,406,1001,153,833,78.8,1.673,28.1536259,Overweight,Normal
115,Combat Service Support,Regular Army,Female,208,1358,314,152,749,432,130,837,1565,419,271,761,181,367,1002,149,828,59.8,1.642,22.17965969,Normal,Normal
116,Combat Support,Regular Army,Female,302,1259,286,192,698,399,126,791,1579,455,359,1070,285,387,877,154,775,75.2,1.538,31.79107178,Overweight,Small
117,Combat Support,Regular Army,Female,260,1315,300,179,746,426,106,840,1526,453,298,923,263,349,932,151,774,68.6,1.574,27.68947106,Overweight,Normal
118,Combat Arms,Regular Army,Female,230,1345,307,175,783,426,123,846,1535,460,342,949,222,376,966,153,783,66.8,1.637,24.92752174,Normal,Normal
119,Combat Support,Regular Army,Female,216,1317,304,160,743,418,135,849,1533,437,302,858,202,342,957,150,766,61.3,1.62,23.35771986,Normal,Normal
120,Combat Service Support,Regular Army,Female,254,1435,325,177,788,480,137,910,1616,435,311,859,224,380,1054,165,873,74.2,1.733,24.70624705,Normal,Tall
121,Combat Service Support,Regular Army,Female,198,1252,285,157,709,399,116,771,1413,415,250,721,180,317,901,152,743,52.2,1.526,22.41617125,Normal,Small
122,Combat Service Support,Regular Army,Female,243,1439,328,171,781,470,124,887,1642,447,302,908,219,370,1052,157,847,76.7,1.732,25.56816667,Overweight,Tall
123,Combat Service Support,Regular Army,Female,254,1334,313,176,769,428,129,803,1634,414,305,880,217,352,975,153,773,66.1,1.624,25.06278968,Overweight,Normal
124,Combat Service Support,Regular Army,Female,211,1223,268,157,661,381,127,795,1421,386,261,759,184,327,873,150,750,50.5,1.507,22.23642026,Normal,Small
125,Combat Support,Regular Army,Female,253,1271,292,169,709,411,140,794,1539,420,304,919,224,349,922,146,755,63.7,1.56,26.17521368,Overweight,Normal
126,Combat Service Support,Regular Army,Female,229,1355,313,175,783,452,123,885,1497,422,326,908,204,331,1008,152,808,66.6,1.64,24.7620464,Normal,Normal
127,Combat Service Support,Regular Army,Female,191,1358,313,157,774,446,128,857,1563,427,260,731,173,341,1026,154,795,61,1.675,21.74203609,Normal,Normal
128,Combat Service Support,Regular Army,Female,213,1243,287,174,693,396,121,788,1471,377,281,820,195,348,895,153,750,58.1,1.526,24.9497998,Normal,Small
129,Combat Service Support,Regular Army,Female,238,1336,306,162,739,425,124,846,1543,445,264,821,226,375,954,151,794,60.9,1.623,23.11959665,Normal,Normal
130,Combat Service Support,Regular Army,Female,221,1282,280,176,715,409,114,786,1494,389,265,740,171,326,947,139,786,57.5,1.584,22.91698551,Normal,Normal
131,Combat Support,Regular Army,Female,275,1375,321,180,780,444,142,846,1700,449,346,1024,246,384,990,158,827,79.7,1.671,28.54338146,Overweight,Normal
132,Combat Support,Regular Army,Female,249,1267,305,188,742,402,116,805,1615,433,313,932,236,386,912,158,746,74.5,1.552,30.9294957,Overweight,Normal
133,Combat Support,Regular Army,Female,206,1333,300,170,748,423,131,833,1528,416,295,827,187,370,960,151,806,61.4,1.633,23.02480717,Normal,Normal
134,Combat Service Support,Regular Army,Female,274,1248,277,181,681,399,112,788,1559,367,295,896,232,372,920,159,754,67.7,1.53,28.92050066,Overweight,Small
135,Combat Support,Regular Army,Female,198,1305,301,158,763,431,133,841,1481,420,268,738,167,335,979,142,771,50.8,1.606,19.69575487,Normal,Normal
136,Combat Support,Regular Army,Female,239,1320,308,166,793,451,134,821,1562,426,293,832,206,351,983,148,789,63.3,1.617,24.20938016,Normal,Normal
137,Combat Support,Regular Army,Female,208,1349,295,179,763,420,135,832,1663,435,310,851,205,395,958,158,799,71.1,1.645,26.27470182,Overweight,Normal
138,Combat Support,Regular Army,Female,211,1364,298,171,793,466,138,906,1540,408,309,859,202,372,1034,158,807,72.7,1.681,25.72758276,Overweight,Normal
139,Combat Support,Regular Army,Female,254,1359,309,165,773,435,127,865,1589,437,300,906,219,370,999,162,812,67.9,1.655,24.7898431,Normal,Normal
140,Combat Support,Regular Army,Female,286,1338,310,198,737,440,121,824,1639,457,357,1028,269,379,953,159,798,83.3,1.626,31.50677263,Overweight,Normal
141,Combat Service Support,Regular Army,Female,217,1338,307,170,727,450,122,856,1462,381,269,786,192,332,1015,152,796,62.2,1.635,23.26777581,Normal,Normal
142,Combat Service Support,Regular Army,Female,242,1302,297,168,738,419,120,811,1519,422,280,853,211,346,945,152,765,61.6,1.572,24.92732229,Normal,Normal
143,Combat Service Support,Regular Army,Female,193,1294,317,164,769,425,119,818,1521,400,267,745,185,343,962,155,738,57.3,1.608,22.16065196,Normal,Normal
144,Combat Service Support,Regular Army,Female,184,1368,304,147,753,431,113,839,1497,412,258,737,162,363,1014,142,826,50.7,1.662,18.3546421,Underweight,Normal
145,Combat Service Support,Regular Army,Female,232,1270,295,169,783,401,120,820,1490,406,274,802,209,343,948,154,743,61.1,1.582,24.41339916,Normal,Normal
146,Combat Service Support,Regular Army,Female,285,1409,307,209,812,476,115,893,1653,454,359,1045,267,371,1046,162,853,86.6,1.701,29.9301756,Overweight,Tall
147,Combat Support,Regular Army,Female,210,1300,301,159,730,404,116,790,1513,442,268,763,182,382,930,144,772,52.3,1.602,20.37870889,Normal,Normal
148,Combat Service Support,Regular Army,Female,255,1245,290,166,786,408,123,773,1549,455,331,955,256,370,885,156,728,67.6,1.549,28.17369835,Overweight,Small
149,Combat Service Support,Regular Army,Female,194,1280,299,174,741,414,124,802,1472,392,256,719,180,340,945,153,742,54.9,1.561,22.53027737,Normal,Normal
150,Combat Service Support,Regular Army,Female,201,1368,323,169,822,479,134,890,1511,379,255,746,189,350,1043,153,775,57.1,1.677,20.30345667,Normal,Normal
151,Combat Support,Regular Army,Female,243,1304,291,176,721,419,126,844,1499,440,296,874,216,343,946,152,785,64.4,1.594,25.34598849,Overweight,Normal
152,Combat Service Support,Regular Army,Female,222,1333,292,180,735,420,124,819,1594,390,275,772,190,349,995,150,826,64.9,1.628,24.48701773,Normal,Normal
153,Combat Service Support,Regular Army,Female,204,1268,306,156,772,383,124,774,1529,428,291,802,182,351,921,146,740,59.2,1.549,24.67282459,Normal,Small
154,Combat Service Support,Regular Army,Female,188,1246,294,155,740,390,114,771,1471,391,251,719,166,335,932,151,735,56.3,1.559,23.16413911,Normal,Normal
155,Combat Service Support,Regular Army,Female,207,1318,297,157,707,408,126,807,1554,459,308,862,199,390,930,152,800,58,1.619,22.12759918,Normal,Normal
156,Combat Service Support,Regular Army,Female,285,1383,322,180,784,449,127,874,1638,497,363,1044,257,396,1004,154,819,81,1.69,28.36035153,Overweight,Normal
157,Combat Support,Regular Army,Female,216,1377,314,156,766,424,123,863,1568,455,288,817,194,389,1008,147,814,64.9,1.698,22.5096802,Normal,Normal
158,Combat Service Support,Regular Army,Female,223,1393,329,167,808,443,120,864,1560,426,289,817,196,340,1055,167,819,65.4,1.705,22.49722655,Normal,Tall
159,Combat Service Support,Regular Army,Female,237,1332,315,166,760,423,120,864,1480,402,273,816,205,323,999,145,779,57,1.625,21.58579882,Normal,Normal
160,Combat Service Support,Regular Army,Female,256,1375,305,176,756,449,124,841,1661,406,345,939,224,350,1011,153,848,80.5,1.666,29.00319792,Overweight,Normal
161,Combat Service Support,Regular Army,Female,256,1280,296,181,689,391,108,791,1522,396,308,863,187,329,933,144,792,67.1,1.559,27.60770399,Overweight,Normal
162,Combat Support,Regular Army,Female,244,1307,306,177,726,419,120,824,1543,434,316,915,215,350,943,145,768,67.3,1.595,26.45414255,Overweight,Normal
163,Combat Support,Regular Army,Female,203,1352,305,159,728,435,127,850,1495,401,288,764,170,318,1020,140,826,55,1.634,20.59959041,Normal,Normal
164,Combat Support,Regular Army,Female,260,1365,314,186,801,452,137,871,1549,427,294,899,207,332,1017,150,802,70.8,1.643,26.22757459,Overweight,Normal
165,Combat Service Support,Regular Army,Female,208,1380,310,143,726,444,122,828,1596,418,258,782,184,379,1000,147,831,53.8,1.667,19.36025512,Normal,Normal
166,Combat Support,Regular Army,Female,240,1375,324,184,772,446,115,878,1563,445,306,897,209,355,1012,163,793,77.1,1.661,27.94570776,Overweight,Normal
167,Combat Support,Regular Army,Female,214,1284,304,166,761,424,123,822,1481,412,281,817,188,322,949,150,731,60.2,1.56,24.73701512,Normal,Normal
168,Combat Support,Regular Army,Female,264,1323,316,170,779,428,130,829,1598,422,287,900,231,380,952,154,746,71.9,1.61,27.73812739,Overweight,Normal
169,Combat Support,Army National Guard,Female,208,1341,290,168,730,423,118,838,1525,414,288,830,196,337,1001,152,823,61.7,1.61,23.80309402,Normal,Normal
170,Combat Service Support,Army National Guard,Female,240,1387,317,175,747,449,122,865,1657,430,330,947,222,370,1015,163,812,76.1,1.682,26.89878563,Overweight,Normal
171,Combat Service Support,Regular Army,Female,259,1322,315,170,778,423,124,836,1603,460,331,958,231,365,953,157,774,73.9,1.604,28.72339102,Overweight,Normal
172,Combat Arms,Regular Army,Female,179,1241,279,160,718,400,130,749,1441,408,270,767,181,344,913,140,751,56,1.54,23.61275089,Normal,Small
173,Combat Service Support,Regular Army,Female,202,1340,305,167,743,433,116,834,1508,411,276,777,180,375,1000,152,812,64.7,1.638,24.1144014,Normal,Normal
174,Combat Service Support,Regular Army,Female,229,1323,296,188,742,421,123,838,1622,445,318,896,208,367,963,159,793,72.4,1.656,26.40084949,Overweight,Normal
175,Combat Service Support,Regular Army,Female,238,1309,290,166,735,425,117,824,1551,416,325,968,216,369,963,153,789,70.8,1.597,27.76025336,Overweight,Normal
176,Combat Support,Regular Army,Female,288,1462,342,202,836,509,127,965,1683,470,333,997,273,398,1099,179,861,95.3,1.749,31.1539617,Overweight,Tall
