stature_m,buttockheight,wristcircumference,shouldercircumference,forearmcircumferenceflexed,forearmforearmbreadth,forearmhandlength,functionalleglength,handbreadth,handcircumference,handlength,headbreadth,headcircumference
1.78,956,1071,297,393,341,641,542,1170,91,217,222,150
1.74,898,1025,250,338,296,584,456,1107,85,207,188,153
1.797,919,1080,267,363,351,616,494,1150,88,209,197,161
1.755,927,1089,277,364,337,575,485,1180,85,204,189,154
1.842,972,1118,290,378,319,643,512,1255,92,220,205,161
1.656,869,1013,257,345,299,610,462,1089,88,207,180,154
1.776,908,1034,280,370,290,559,478,1160,84,202,190,158
1.859,989,1099,272,361,346,634,488,1208,93,223,195,164
1.685,850,997,250,327,317,585,457,1036,96,226,190,163
1.775,918,1068,263,344,308,560,465,1158,92,217,190,154
1.825,1014,1155,310,401,328,563,545,1237,92,220,211,151
1.931,1015,1197,293,375,288,559,516,1254,86,205,204,150
1.789,944,1075,269,362,321,605,479,1160,91,220,192,148
1.819,953,1084,272,362,338,662,483,1156,92,222,195,152
1.782,919,1073,261,342,294,557,472,1132,88,213,188,160
1.721,880,1048,247,330,315,628,460,1123,91,219,183,147
1.91,1004,1186,298,405,341,665,537,1290,100,233,210,161
1.804,945,1085,267,350,319,602,488,1185,90,214,199,153
1.782,950,1052,262,354,315,662,475,1197,86,212,201,164
1.777,931,1082,274,351,322,582,475,1206,88,210,177,158
1.665,830,959,270,347,288,597,474,1072,83,201,188,152
1.803,950,1093,267,348,300,578,467,1177,92,218,185,153
1.879,1008,1181,288,385,331,608,532,1252,100,233,218,160
1.733,899,1023,263,347,313,639,460,1123,81,193,183,154
1.835,978,1106,274,369,327,604,496,1213,95,223,200,155
1.792,939,1078,271,362,317,651,489,1176,90,212,196,164
1.721,870,1014,256,344,301,577,465,1055,90,215,187,157
1.711,888,1038,264,340,313,614,460,1138,85,201,183,156
1.809,945,1082,265,347,320,606,470,1137,83,204,184,157
1.664,869,1013,242,326,288,543,439,1117,80,193,179,157
1.807,933,1064,274,371,335,640,500,1147,94,223,207,155
1.705,887,1019,261,350,301,549,470,1107,84,202,185,154
1.955,1021,1159,311,405,320,626,545,1287,93,223,222,158
1.73,875,1022,250,336,320,598,457,1154,84,200,185,150
1.774,927,1079,263,344,331,603,476,1177,93,224,194,150
1.724,912,1030,261,330,287,516,451,1133,82,195,177,149
1.705,888,993,264,352,306,546,475,1070,87,205,195,155
1.838,950,1115,282,362,301,580,493,1185,90,211,196,151
1.706,892,1019,249,340,316,621,452,1131,88,207,185,150
1.809,960,1095,268,360,295,608,490,1214,91,222,198,150
1.773,933,1075,279,357,292,527,487,1134,93,216,197,139
1.734,886,1031,258,336,293,551,462,1137,90,211,196,148
1.748,898,1025,265,350,286,545,468,1127,88,210,187,153
1.651,832,944,242,324,316,594,441,1047,85,203,182,153
1.724,885,1053,271,345,276,568,479,1165,82,198,193,151
1.86,954,1158,282,359,287,535,503,1231,93,217,207,153
1.715,875,1035,257,358,294,511,465,1126,91,213,185,151
1.757,919,1059,260,358,294,535,485,1132,93,222,196,145
1.916,979,1141,285,379,347,655,509,1245,93,216,204,152
1.847,992,1143,283,368,311,579,501,1225,83,201,198,150
1.855,990,1136,296,377,326,554,518,1228,94,220,203,156
1.718,880,1004,258,338,290,458,461,1094,85,206,186,150
1.641,806,936,245,337,316,590,445,1059,87,210,185,152
1.833,945,1114,282,374,306,560,502,1183,91,215,204,145
1.784,939,1083,272,359,341,655,476,1153,97,233,195,156
1.77,892,1075,273,368,337,611,504,1193,90,220,206,163
1.702,877,1047,255,329,280,505,448,1089,81,190,183,157
1.8,933,1084,268,362,297,554,479,1123,87,210,189,151
1.715,918,1007,263,344,260,530,472,1117,83,194,194,161
1.842,944,1112,267,355,301,528,477,1220,86,211,189,144
1.71,880,987,264,346,322,574,471,1078,83,205,188,165
1.753,951,1068,276,351,330,584,488,1148,88,210,201,156
1.935,1015,1148,286,381,320,588,506,1259,90,213,200,150
1.738,909,1025,280,357,299,602,482,1111,86,207,195,142
1.77,926,1064,279,361,327,587,487,1178,88,215,190,153
1.72,917,1061,282,367,313,576,497,1152,92,225,193,152
1.673,831,1000,244,329,289,557,439,1076,80,202,175,163
1.715,883,987,242,328,351,683,450,1128,95,227,183,160
1.822,947,1063,274,351,307,586,489,1199,82,206,195,150
1.913,981,1128,290,362,332,641,500,1238,90,217,195,148
1.756,919,1041,261,343,311,589,470,1155,97,228,193,156
1.735,881,1038,254,339,302,584,456,1092,91,220,184,155
1.726,908,1045,296,374,327,606,512,1162,88,210,208,156
1.716,871,1004,259,345,324,612,461,1065,86,212,187,154
1.717,879,1041,265,336,266,499,462,1090,83,203,190,151
1.718,915,1039,261,337,292,493,466,1112,86,206,197,144
1.747,923,1052,271,364,315,619,500,1136,87,210,200,177
1.567,861,945,243,310,246,476,428,991,78,188,172,136
1.894,972,1114,265,356,338,644,481,1194,91,218,196,163
1.738,927,1071,261,343,294,555,468,1110,87,210,188,145
1.862,1002,1131,302,381,330,641,516,1231,93,221,203,160
1.654,858,973,239,327,260,465,430,1063,78,187,165,148
1.637,845,970,246,329,303,612,452,1059,86,203,183,148
1.738,884,1025,264,341,308,647,463,1124,82,201,190,161
1.813,1024,1145,302,399,383,658,530,1208,95,233,205,144
1.738,970,1081,285,367,312,597,507,1170,86,207,200,144
1.815,980,1095,289,388,326,652,522,1226,98,227,217,160
1.736,860,997,261,345,348,675,460,1149,86,212,182,154
1.689,866,983,255,352,288,587,465,1138,81,200,181,155
1.74,913,1049,261,333,271,512,466,1150,82,202,185,145
1.782,942,1078,279,379,308,533,491,1138,87,206,195,158
1.784,961,1095,270,349,305,569,490,1135,88,206,201,149
1.647,861,970,241,325,320,600,436,1127,84,202,179,157
1.74,888,1034,264,347,333,657,465,1131,92,220,187,156
1.664,857,1015,253,343,283,529,468,1118,88,213,193,151
1.805,945,1099,290,386,369,653,513,1218,91,220,201,158
1.745,932,1073,289,379,333,593,500,1181,85,202,187,154
1.605,843,976,252,339,328,522,457,1096,86,208,186,138
1.83,976,1124,297,379,322,614,515,1213,94,225,199,159
1.81,967,1110,285,368,320,575,496,1204,90,221,194,156
1.731,886,1035,252,329,268,533,448,1085,84,200,178,153
1.845,964,1119,272,348,295,531,486,1188,85,213,195,155
1.775,965,1097,288,374,290,511,502,1154,89,213,204,151
1.795,926,1042,270,362,330,622,481,1187,93,220,187,157
1.664,891,996,285,370,328,617,500,1117,90,222,200,160
1.752,906,1047,268,349,309,615,474,1175,88,210,187,160
1.814,963,1080,282,373,296,573,499,1150,89,216,204,151
1.836,981,1130,276,359,330,649,490,1228,92,218,197,157
1.628,849,940,240,325,282,557,442,1056,80,193,183,153
1.64,835,986,255,346,326,588,470,1099,87,213,193,153
1.728,850,1003,263,344,314,557,477,1095,90,214,204,162
1.606,821,952,240,322,262,480,434,1052,78,190,176,162
