,Gender,weight_kg,stature_m,body_height,x,y
164,Female,815,67.2,152,26.476559,10.927088
165,Female,836,69.5,155,23.727556,-5.590998
166,Female,770,66.9,156,9.034482,-27.087854
167,Female,794,57.4,146,3.4158628,37.563503
168,Female,798,81.5,164,13.094249,-34.982845
169,Female,777,61.8,149,-3.9133663,19.862837
170,Female,728,64.5,149,6.985569,-57.82844
171,Female,779,55.7,145,14.794835,12.012329
172,Female,760,61.4,149,22.23176,-15.085176
173,Female,821,66.8,150,-27.771378,34.136013
174,Female,755,73,155,-22.516539,34.417255
175,Female,864,73.7,150,-8.695032,-31.69161
176,Female,793,69.3,152,27.027283,13.393064
177,Female,786,75.7,153,4.424243,-35.207016
178,Female,785,74,153,-7.3342667,-5.3747888
179,Female,796,68.2,161,6.048207,5.4493794
180,Female,828,86.7,167,-15.61311,18.377003
181,Female,908,88.2,164,37.52811,25.157925
182,Female,786,78.6,153,-21.379734,5.9701295
183,Female,852,62.2,159,-35.070385,-20.522781
184,Female,831,78.2,154,-27.529593,34.118534
185,Female,695,60.8,145,-10.659844,8.929731
186,Female,810,67.4,152,10.302865,-54.647285
187,Female,769,68.6,155,-31.118639,-28.418673
188,Female,779,67,158,-23.523733,-36.43353
189,Female,711,63.5,154,-24.629246,35.361183
190,Female,781,77.3,160,37.955227,25.216923
191,Female,799,55.5,152,-24.605568,-22.489923
192,Female,773,72.7,155,9.952037,-27.982126
193,Female,802,59.3,151,30.635296,-25.235064
194,Female,839,99.8,167,-8.099386,31.430626
195,Female,734,58.1,144,-27.78473,-7.6531386
196,Female,721,64.2,147,-15.163285,19.621513
197,Female,809,75.8,160,-26.492857,-22.109644
198,Female,779,68.3,154,30.123203,10.843167
199,Female,757,47.1,145,-11.634835,-15.476363
