headbreadth,headcircumference,headlength,tragiontopofhead,neckcircumference,neckcircumferencebase
218,160,589,541,137,416
183,154,565,476,111,416
200,155,588,510,125,414
196,164,585,490,127,425
187,157,581,465,126,414
183,156,580,468,122,424
184,157,570,489,123,419
179,157,558,442,110,355
207,155,575,496,123,424
185,154,582,470,118,406
222,158,608,542,137,415
185,150,575,462,127,406
194,150,585,483,130,420
177,149,565,477,118,371
195,155,593,459,118,370
196,151,573,509,121,400
185,150,588,459,127,405
198,150,580,506,118,395
197,139,570,490,117,397
196,148,560,464,113,395
187,153,572,489,134,360
182,153,577,434,117,395
193,151,556,477,119,368
207,153,577,518,128,373
185,151,580,469,121,370
196,145,575,469,124,402
204,152,577,535,122,414
198,150,565,542,132,384
203,156,588,525,137,396
186,150,567,470,123,372
185,152,571,429,122,404
204,145,550,503,117,383
195,156,577,478,138,431
206,163,595,480,120,407
183,157,555,456,116,361
189,151,595,482,120,369
194,161,570,477,125,370
189,144,565,495,122,388
188,165,592,477,126,408
201,156,575,496,129,419
200,150,585,527,127,412
195,142,553,470,120,381
190,153,565,500,121,384
193,152,577,489,117,390
175,163,562,442,122,391
183,160,583,453,116,463
195,150,578,506,121,387
195,148,560,513,123,433
193,156,582,466,126,418
184,155,590,464,119,398
208,156,566,476,115,402
187,154,557,459,116,392
190,151,553,471,125,372
197,144,562,481,120,390
200,177,613,488,128,430
172,136,518,429,114,327
196,163,621,496,123,444
188,145,546,478,131,385
203,160,603,532,122,446
165,148,535,445,111,360
183,148,556,442,116,385
190,161,583,484,133,399
205,144,566,536,127,426
200,144,564,500,119,384
217,160,591,516,127,455
182,154,583,449,125,419
181,155,583,465,110,408
185,145,543,486,112,377
195,158,577,498,124,385
201,149,565,474,112,379
179,157,566,447,108,420
187,156,576,466,124,425
193,151,564,442,127,394
201,158,590,501,139,454
187,154,588,498,125,422
186,138,530,432,111,392
199,159,584,518,120,420
194,156,566,505,127,394
178,153,578,455,116,370
195,155,555,503,118,372
204,151,550,511,123,364
187,157,607,488,124,430
200,160,571,454,114,400
187,160,590,472,129,401
204,151,552,492,113,406
197,157,603,516,127,415
183,153,574,435,115,379
193,153,560,448,121,422
204,162,600,436,127,406
176,162,543,431,116,329
197,160,602,489,125,428
194,160,562,503,114,411
200,155,583,491,127,420
184,153,568,480,110,383
180,151,516,459,114,365
184,149,530,448,116,351
183,158,577,431,112,422
202,150,567,478,117,425
200,177,597,480,123,491
190,157,582,467,128,366
201,154,588,471,123,369
199,161,618,496,118,385
205,160,575,501,124,385
188,152,564,470,126,395
192,158,592,499,124,443
194,152,594,503,124,417
184,144,570,458,120,369
210,147,555,500,117,379
204,163,584,519,120,428
189,163,593,491,117,416
220,158,577,540,140,421
190,153,583,468,127,396
194,150,563,463,128,360
195,147,544,451,126,391
187,150,578,480,121,414
190,149,560,472,119,395
195,150,577,498,125,416
200,152,543,467,121,398
180,161,563,459,112,416
225,142,576,534,134,405
199,159,555,487,117,382
187,156,594,493,136,420
198,153,584,512,120,399
181,150,573,451,104,382
196,166,604,466,131,455
193,154,570,494,121,366
190,154,566,430,125,387
195,153,573,455,119,408
180,157,566,438,126,425
209,155,575,512,127,369
186,164,596,446,136,407
185,159,584,478,123,377
184,147,575,472,115,395
204,150,564,507,119,408
200,155,583,484,123,425
193,151,600,474,122,385
190,167,595,449,127,442
186,152,550,455,117,398
197,153,558,484,119,385
201,156,575,482,118,411
187,152,562,436,114,340
178,156,590,446,126,389
200,163,581,522,117,440
193,153,572,498,118,444
195,158,573,484,136,406
200,157,602,484,125,425
221,156,580,561,133,399
207,157,608,507,127,419
194,150,545,499,111,367
197,148,572,472,126,417
210,156,568,510,125,404
190,171,590,473,133,395
175,148,563,441,111,366
183,150,553,469,119,386
177,158,552,434,110,387
206,160,590,506,125,386
197,153,575,489,126,436
204,160,560,500,118,392
197,154,567,491,111,377
197,150,583,471,118,355
178,154,550,486,113,361
199,148,580,506,124,380
174,154,555,464,120,411
208,150,573,525,130,380
200,150,572,522,114,387
184,150,562,455,119,375
194,156,580,470,128,371
197,161,615,483,133,414
197,151,570,514,133,381
197,158,602,546,134,373
189,153,586,477,123,370
212,160,605,538,146,441
184,153,555,448,117,380
187,150,563,491,114,405
203,159,583,519,129,419
197,151,558,470,131,385
174,141,556,465,122,373
186,157,577,451,130,405
198,155,571,506,127,401
194,148,536,506,123,351
199,155,566,514,125,396
188,161,580,484,120,367
204,152,555,498,114,383
181,146,550,469,116,395
190,163,588,483,121,396
194,150,547,459,120,368
195,161,598,489,127,376
214,162,587,521,113,407
196,154,548,504,118,400
183,149,550,434,112,405
191,147,553,513,121,369
202,153,568,496,133,363
190,156,599,504,123,453
195,157,587,517,121,392
188,164,595,450,117,441
195,146,566,472,121,388
191,156,578,475,128,402
197,153,578,467,131,373
196,145,560,471,114,417
187,150,563,465,126,376
197,154,563,457,123,372
205,148,567,471,133,417
176,150,547,432,117,366
177,160,563,439,123,377
196,165,578,482,118,418
181,160,573,438,113,399
184,147,584,462,122,402
192,155,588,460,125,409
181,150,560,442,126,394
204,165,589,522,129,431
205,154,602,538,125,414
198,166,590,459,118,436
182,158,570,482,129,372
207,160,603,528,115,471
200,150,568,503,128,414
210,145,550,527,125,341
184,159,595,468,123,382
191,156,586,449,131,407
190,155,575,477,120,363
193,150,580,506,118,413
203,162,578,462,119,406
221,155,600,500,128,420
197,160,599,442,127,406
187,156,588,440,117,399
199,156,590,470,112,381
191,157,572,477,133,455
199,153,579,493,118,425
184,162,570,431,111,369
187,161,608,447,136,395
191,158,577,448,116,440
187,154,554,436,124,387
176,151,578,443,121,398
186,152,573,446,124,412
194,154,582,451,125,392
194,157,585,453,113,448
214,156,570,521,122,385
194,153,575,471,120,365
186,152,590,435,121,394
188,155,568,487,117,422
194,149,570,488,118,373
191,155,570,472,124,382
194,150,553,457,114,372
177,149,553,439,117,384
196,147,565,468,121,392
174,154,592,422,123,412
176,152,561,423,122,371
201,147,570,444,129,433
205,157,580,501,125,440
185,155,579,443,120,378
203,155,580,500,136,382
199,163,592,463,122,411
200,147,588,510,118,410
194,162,574,468,120,404
211,161,596,490,124,419
202,159,594,480,136,395
180,153,558,422,123,367
185,148,578,472,119,377
190,150,576,519,123,396
186,157,588,442,137,393
185,153,556,446,122,386
191,150,555,451,130,417
191,157,573,443,117,412
186,161,577,461,118,419
181,158,561,427,127,399
203,154,593,520,130,440
184,154,570,461,128,412
205,150,558,482,119,354
186,157,576,459,121,390
189,150,563,461,119,376
194,158,545,434,117,379
170,159,590,427,124,415
204,153,566,481,119,387
198,149,558,478,124,368
186,154,565,474,115,398
189,152,558,463,123,354
186,152,574,485,113,375
197,144,545,490,124,375
206,161,590,511,133,391
204,144,556,483,127,367
203,155,576,450,125,442
196,149,564,443,124,374
193,161,622,493,127,419
190,148,567,456,130,367
188,151,553,467,113,368
189,160,567,458,123,378
197,152,584,479,120,399
212,152,574,523,125,382
197,141,564,481,126,362
210,163,585,542,115,402
197,150,560,474,132,367
204,163,575,483,126,388
200,145,577,447,127,372
197,148,577,473,116,372
198,155,594,490,117,402
203,150,546,456,108,355
203,158,598,506,117,405
188,147,540,432,109,387
205,149,584,531,130,414
172,154,568,421,120,372
196,161,592,445,126,413
193,162,589,481,134,425
178,145,545,450,122,387
188,141,548,452,113,359
209,163,581,479,127,388
192,162,591,460,123,384
204,150,570,496,125,373
197,163,574,463,113,391
204,159,583,473,128,419
197,147,565,499,109,402
188,157,578,447,127,402
198,157,596,491,127,404
194,157,573,474,120,400
190,160,585,477,117,456
192,165,601,472,125,402
193,151,575,478,126,375
192,155,575,457,119,381
190,147,556,457,120,381
190,140,556,466,127,347
188,147,583,484,112,392
194,149,577,442,120,399
190,156,595,459,117,411
171,150,553,423,117,370
185,152,568,425,125,403
210,151,603,518,121,373
186,160,582,442,116,414
168,144,544,425,113,396
200,156,589,505,126,395
186,156,568,481,116,402
205,160,597,520,122,383
190,154,578,485,124,426
173,151,581,442,125,362
187,155,575,463,127,409
180,168,577,446,119,425
195,157,568,447,129,397
198,156,562,500,129,390
197,153,558,497,113,330
189,151,543,440,130,360
179,154,579,463,113,389
187,153,555,443,125,389
175,161,573,448,115,405
199,170,628,496,136,472
187,161,562,467,122,412
185,148,557,459,120,392
207,155,600,495,122,384
191,156,547,457,127,404
187,155,587,435,124,413
191,159,587,453,139,367
200,145,556,494,125,352
192,153,587,444,128,393
191,166,563,473,115,400
190,147,547,468,127,330
192,154,578,481,118,380
194,153,566,469,123,404
178,161,582,456,110,396
191,150,559,464,120,406
187,166,566,463,117,402
180,151,551,439,111,398
192,157,597,497,112,418
192,157,580,473,117,405
194,155,585,496,118,400
190,151,557,474,119,370
171,156,588,413,123,404
197,154,578,478,128,400
196,161,573,457,129,476
197,155,587,478,117,399
185,153,588,453,123,405
209,158,595,486,126,424
197,150,574,470,126,409
189,157,572,457,119,376
193,164,585,489,119,415
185,150,555,455,114,401
189,154,580,492,124,423
181,151,575,428,130,399
194,149,559,459,126,374
192,153,580,451,110,402
202,152,576,485,124,376
188,164,603,475,128,420
187,150,574,464,127,392
194,158,594,457,125,435
203,160,589,484,126,389
197,149,567,493,122,383
186,164,611,454,111,415
190,160,585,444,124,419
177,153,573,455,110,386
203,151,582,492,124,409
204,156,586,534,133,385
189,161,588,453,116,391
176,145,569,413,115,400
191,155,574,478,120,362
186,153,566,456,118,395
198,166,573,490,121,395
198,154,584,493,135,397
189,160,570,459,127,390
177,151,546,444,112,349
209,162,576,524,124,414
193,150,565,454,120,386
208,168,604,530,128,375
198,162,575,464,126,383
194,149,554,462,127,381
197,156,572,475,123,397
191,156,579,451,122,412
183,155,583,454,126,422
188,151,544,466,113,412
194,161,554,470,122,374
192,146,564,471,117,376
189,154,578,468,118,383
179,159,570,436,124,453
195,161,582,471,112,400
186,155,584,420,132,414
191,150,583,467,128,409
211,153,569,476,121,425
188,149,575,445,122,373
185,157,574,435,127,378
200,156,575,476,126,389
192,165,611,493,129,406
184,150,559,470,123,399
188,154,562,498,121,390
203,161,599,486,134,426
187,162,598,445,122,441
182,154,562,464,121,406
176,149,546,471,107,395
190,154,563,465,119,396
202,154,575,503,119,416
210,159,577,494,118,428
202,157,584,469,132,392
199,150,563,456,136,389
180,154,563,465,129,385
197,146,560,485,134,365
190,154,579,465,123,412
196,160,587,495,129,404
206,154,590,481,131,440
187,152,584,466,119,392
206,152,580,503,136,406
196,156,582,455,119,377
198,150,567,509,116,419
190,156,577,470,129,387
216,158,599,506,132,417
192,154,560,466,113,379
195,162,565,468,124,404
201,157,584,470,124,400
199,153,582,468,116,443
209,154,583,482,126,365
190,160,604,486,128,466
193,156,553,455,120,374
207,147,551,486,115,382
194,155,565,452,120,378
188,153,580,444,117,398
203,153,596,481,125,448
207,153,534,492,107,360
200,144,557,489,137,391
200,152,587,510,136,412
179,156,573,425,113,400
186,153,564,406,127,425
189,148,586,454,115,364
188,151,569,468,127,405
198,152,564,459,125,424
187,154,559,447,127,375
185,152,554,455,124,435
198,146,574,463,130,405
181,160,571,434,119,384
205,159,587,454,135,387
193,152,566,476,117,395
196,151,554,490,118,360
186,157,578,455,116,400
186,164,584,461,124,412
187,149,568,441,120,430
199,158,588,468,122,404
194,156,561,466,130,386
181,156,575,432,121,387
211,161,592,478,115,422
204,153,602,480,119,427
196,155,574,459,120,449
196,162,603,460,120,401
190,149,555,490,119,383
204,156,584,515,124,406
191,149,557,454,116,394
215,158,593,523,119,426
190,160,593,438,117,431
197,156,590,484,117,395
178,155,564,440,122,407
194,146,562,465,121,362
188,151,562,458,121,409
186,151,577,432,123,441
187,168,597,474,124,408
199,154,583,480,123,393
194,152,585,487,122,373
188,148,566,423,123,380
213,172,604,518,127,453
203,156,603,483,122,395
174,167,584,445,112,415
192,155,582,452,117,436
185,144,573,468,122,407
193,156,602,445,122,439
182,156,573,451,119,409
175,162,578,435,127,406
190,151,566,461,109,385
194,156,582,484,115,415
190,167,610,474,124,440
177,147,557,427,114,395
186,166,590,456,115,447
194,156,577,460,128,379
202,149,552,476,107,391
188,155,567,480,122,367
204,162,595,481,127,467
180,161,586,453,119,396
193,146,557,479,112,379
195,157,548,457,123,394
180,162,575,436,121,408
191,154,582,438,135,394
202,153,572,510,119,393
193,157,564,488,119,410
205,147,563,529,134,387
199,154,560,460,118,417
190,154,562,482,121,381
197,157,575,521,119,382
213,155,575,526,133,401
197,156,572,477,135,389
194,145,554,506,119,370
187,146,551,453,125,372
184,150,540,468,123,365
215,155,581,481,130,409
188,146,581,428,127,400
197,168,590,460,124,442
180,152,573,480,121,415
172,145,562,425,112,387
181,150,531,454,108,373
197,135,543,476,127,427
214,145,577,492,132,379
177,158,592,447,135,414
193,161,584,445,120,403
202,162,575,467,111,418
180,150,567,429,126,378
186,157,570,438,134,392
191,153,576,453,127,422
200,153,581,508,124,360
204,157,578,479,124,376
185,154,550,454,111,446
204,156,574,479,131,390
214,148,578,531,139,397
194,146,559,502,129,360
200,150,570,486,131,371
194,150,566,466,118,409
211,156,587,502,135,420
185,154,570,447,126,371
191,159,580,431,129,460
177,150,568,429,121,417
206,153,588,509,123,410
184,154,553,467,125,385
198,153,578,481,127,398
191,150,571,466,122,364
194,150,595,482,121,427
188,153,561,415,108,467
191,155,565,482,114,395
192,155,561,450,119,383
212,163,608,515,130,404
208,149,559,473,122,405
189,149,578,437,134,376
186,153,585,463,117,418
185,150,575,440,108,412
167,155,577,440,126,401
194,153,564,486,117,392
180,150,572,458,132,400
200,153,583,488,127,378
203,160,594,529,123,467
195,155,549,457,114,393
198,158,569,491,117,377
194,147,571,467,123,417
182,149,575,456,119,398
200,144,550,454,130,406
196,156,578,474,126,435
190,156,580,473,127,395
193,152,588,467,121,410
192,159,592,484,122,465
195,150,577,450,120,434
197,148,566,471,125,382
197,151,556,482,129,409
180,159,575,443,126,398
193,151,577,455,120,388
191,154,579,453,135,400
185,158,579,450,126,446
197,153,614,454,130,403
187,155,566,461,121,394
190,170,606,432,123,399
181,154,579,451,125,421
200,154,566,477,119,399
192,152,569,473,127,417
189,159,590,486,130,419
205,150,558,502,120,417
199,146,570,513,124,401
202,158,598,466,118,430
167,152,537,453,123,355
186,146,590,453,122,456
221,151,570,532,117,405
198,150,557,495,108,398
201,150,550,476,116,364
190,158,570,484,135,449
186,152,575,452,123,404
208,157,589,480,122,427
181,154,588,455,120,417
193,151,559,492,112,375
184,158,560,449,131,384
210,156,593,485,122,441
196,156,567,477,121,386
190,145,550,482,121,397
178,150,563,454,121,389
200,159,570,491,128,413
195,152,561,440,133,416
185,152,592,461,122,359
189,148,536,457,114,385
202,154,553,468,120,411
190,154,584,474,127,376
194,172,590,497,119,422
194,154,569,454,118,411
187,151,556,486,119,366
203,163,582,479,123,404
198,150,573,524,118,408
174,165,579,407,126,448
194,148,553,472,116,379
206,150,568,463,124,394
190,147,567,456,123,385
215,166,574,509,119,402
198,153,577,489,124,396
205,154,601,475,127,412
185,151,543,466,116,397
189,154,587,459,115,396
203,162,588,508,130,440
193,152,572,499,119,435
200,157,593,490,133,437
183,157,568,423,128,473
205,158,603,517,122,437
191,154,579,468,123,395
210,158,605,479,126,462
191,150,576,463,116,423
186,160,582,440,126,423
200,160,590,472,122,416
171,154,565,435,122,387
218,152,588,543,130,442
198,144,558,496,117,402
182,159,586,499,130,447
197,156,582,492,131,410
193,159,582,519,132,453
186,165,601,456,130,411
221,166,606,543,133,428
196,153,561,454,115,387
215,147,550,497,130,394
185,147,538,465,126,393
182,148,576,449,120,396
198,152,570,471,132,405
181,149,562,445,122,416
197,164,580,483,121,439
200,149,584,491,120,410
200,158,565,489,124,394
209,155,574,472,128,403
187,152,563,467,140,433
193,156,577,463,119,375
191,163,573,476,128,461
197,157,560,481,115,407
188,155,577,448,123,414
190,157,573,462,120,389
211,154,595,520,156,380
190,155,578,456,127,373
194,155,586,481,138,412
202,157,570,496,127,406
201,156,568,500,124,437
188,151,584,456,117,371
208,174,615,526,139,440
191,153,568,473,128,397
188,157,568,441,126,368
203,164,587,496,126,420
202,155,584,505,123,395
191,150,563,484,130,365
184,147,557,443,120,407
186,144,564,448,116,408
186,154,564,471,120,422
197,160,589,500,124,424
181,155,575,450,125,419
194,158,574,489,129,417
191,155,563,476,123,372
180,152,580,428,122,385
198,156,576,479,118,416
200,164,608,477,122,411
199,157,583,496,128,472
177,150,560,454,127,365
197,159,580,475,121,410
201,155,577,475,112,402
194,147,545,461,123,382
191,154,584,471,119,372
186,157,582,473,127,404
211,155,593,501,136,435
208,156,547,513,129,390
194,153,577,471,128,394
192,167,603,482,124,391
187,153,603,486,120,405
198,161,586,471,126,430
182,151,572,453,120,385
194,157,576,446,117,411
187,149,565,453,117,434
205,158,552,488,130,426
194,163,585,463,129,396
195,157,570,470,123,412
204,153,566,483,128,403
186,153,565,452,113,404
207,147,578,499,128,371
183,157,579,472,119,381
188,146,560,453,112,397
197,154,568,478,128,405
190,154,595,471,134,426
197,160,587,465,121,405
207,153,570,490,127,445
196,164,586,479,115,429
198,150,560,478,124,382
196,157,566,507,126,390
193,153,574,460,118,371
206,177,615,495,127,442
181,147,567,461,127,413
176,154,548,424,117,397
186,155,594,453,119,385
179,153,554,447,113,356
194,153,552,468,126,412
205,153,570,483,121,378
195,155,580,483,127,411
204,151,572,467,127,389
190,153,583,455,120,386
200,156,575,475,125,405
188,154,540,430,123,355
204,159,577,463,119,414
198,153,585,470,117,393
203,157,566,492,126,397
191,155,568,447,116,426
201,148,568,483,123,387
215,160,600,498,124,431
205,157,588,483,124,412
173,147,547,415,123,424
197,151,570,458,124,385
186,166,590,499,129,406
202,156,580,482,121,370
192,146,563,469,130,362
195,161,610,451,131,472
199,156,576,489,134,410
208,150,585,461,132,392
199,156,567,485,122,393
189,158,578,453,124,412
173,155,553,421,111,382
190,154,574,440,125,393
197,147,556,502,121,383
180,154,577,468,116,382
203,157,577,485,137,428
193,153,578,478,124,379
190,152,582,479,125,408
198,153,580,448,136,465
188,161,557,436,116,413
192,170,578,428,122,421
190,166,552,445,117,428
201,155,560,476,126,393
183,158,554,455,114,401
175,166,570,458,121,403
198,158,587,476,128,396
181,157,586,437,112,391
197,161,608,490,122,434
181,162,554,455,133,399
195,159,573,490,118,395
178,152,567,472,123,369
190,154,574,444,128,387
197,163,589,481,129,443
190,160,567,463,120,411
203,152,581,458,122,417
187,158,600,447,123,401
190,157,585,480,125,420
191,157,585,457,129,414
187,152,565,463,126,360
190,151,575,466,133,411
193,172,617,464,128,442
197,157,578,476,130,395
176,166,574,439,120,381
174,157,566,430,122,346
197,162,590,461,133,430
198,153,577,466,122,411
190,158,577,468,128,436
193,154,547,464,122,386
193,157,581,450,123,375
197,154,580,475,118,441
185,153,582,435,113,377
190,154,573,464,130,368
187,168,597,442,123,413
177,153,568,435,117,401
187,150,580,454,113,404
183,156,572,467,124,383
201,151,582,476,122,383
184,147,575,450,113,456
185,156,566,478,122,393
180,154,553,431,108,367
188,149,573,448,122,444
220,155,587,538,137,397
195,161,593,437,126,413
194,162,599,496,126,432
204,157,559,499,125,377
188,153,569,497,129,412
193,164,595,487,130,375
194,158,579,457,110,411
207,145,567,550,115,413
186,153,557,441,120,395
185,148,594,480,134,429
200,152,568,449,134,380
190,154,554,422,125,385
186,155,590,415,116,440
188,163,544,457,120,442
194,149,575,440,122,362
180,146,555,439,108,403
188,156,564,463,120,418
189,156,590,441,126,419
203,157,603,471,125,401
192,143,547,457,125,375
194,157,596,496,129,460
199,154,586,466,140,439
200,156,592,512,126,362
188,154,586,497,126,388
197,154,583,496,121,450
193,160,570,496,118,409
197,154,584,504,122,435
186,147,553,452,112,354
209,155,540,466,124,432
194,149,574,462,119,393
195,147,561,477,119,360
192,160,596,463,111,409
186,156,580,446,132,400
196,160,582,484,131,399
188,153,571,475,120,369
200,158,603,479,129,424
195,146,572,475,128,431
200,159,578,498,125,380
174,146,566,436,138,365
197,154,592,473,120,438
183,153,581,455,119,399
204,151,585,477,120,451
179,146,550,436,126,340
184,161,577,466,121,447
195,158,578,453,122,386
204,163,590,488,134,434
198,156,597,481,123,423
191,157,592,519,132,410
187,150,563,480,118,375
180,141,578,431,122,374
183,153,564,481,122,385
216,156,574,505,122,391
188,153,573,472,127,412
200,152,575,477,126,403
200,155,589,510,123,413
187,147,566,432,113,383
199,150,570,510,129,429
195,157,559,463,123,360
188,156,560,493,125,416
219,143,561,509,117,375
194,153,574,478,128,438
198,163,606,458,123,422
182,154,578,452,123,381
212,153,594,511,125,427
192,165,622,500,130,397
194,156,579,502,123,401
180,157,555,454,120,389
183,155,568,450,117,382
189,160,587,440,119,447
190,162,578,451,111,442
186,146,550,468,128,392
190,149,552,420,117,410
193,166,630,471,123,425
197,154,576,500,120,372
197,156,602,465,130,405
204,150,585,504,126,402
187,153,605,441,117,414
214,161,594,486,124,372
206,150,590,503,128,405
187,155,576,478,120,363
203,160,590,500,122,432
200,161,588,501,122,436
193,158,580,469,123,401
196,154,574,489,118,402
196,160,584,476,125,425
192,157,567,438,117,372
200,159,575,487,126,365
192,161,596,466,126,397
188,154,570,449,124,380
174,153,576,453,120,406
191,140,548,485,129,373
195,149,583,457,119,410
188,153,550,444,117,396
184,161,586,462,114,377
206,151,567,531,128,373
205,158,593,495,125,442
195,145,588,487,126,388
205,162,614,518,126,437
201,162,577,490,121,418
188,152,568,454,126,393
191,151,538,463,112,364
214,161,590,498,129,395
197,157,584,503,121,421
184,149,544,461,109,325
186,156,571,446,120,346
182,152,560,458,124,366
199,154,590,482,130,429
174,145,541,420,106,311
199,156,587,485,138,412
217,154,606,496,135,435
201,152,579,513,114,411
189,161,575,460,124,400
189,156,574,442,123,410
203,149,571,485,122,368
195,154,576,468,125,385
189,151,572,473,127,402
193,146,552,484,111,357
200,161,607,440,108,471
193,155,578,480,128,385
194,146,552,466,120,363
185,161,612,473,132,440
184,163,593,456,120,380
193,161,577,463,111,388
182,155,577,461,123,384
187,149,570,461,114,367
202,151,549,497,120,392
204,152,568,512,127,376
196,154,583,476,123,401
211,153,582,483,130,401
184,155,584,451,120,396
187,156,596,461,130,357
184,147,565,459,121,354
195,152,563,466,119,377
187,153,558,433,115,409
182,153,567,447,124,356
191,152,582,451,128,402
198,157,561,476,120,399
181,149,575,439,114,388
178,151,568,470,120,384
213,160,611,468,124,446
194,153,561,481,120,355
199,158,586,448,129,435
204,163,615,478,129,424
183,146,557,452,115,367
195,155,597,492,126,396
206,156,564,438,124,413
202,155,582,492,119,406
184,149,564,431,111,387
186,152,561,492,123,375
215,146,564,494,115,350
189,152,557,457,118,402
188,143,564,466,127,352
177,167,598,447,129,470
194,145,562,461,121,366
188,148,549,464,119,392
184,150,572,453,123,378
190,154,586,469,115,409
178,150,573,447,105,407
186,147,546,443,116,357
201,167,615,461,120,436
190,145,534,468,109,359
205,160,602,486,127,438
187,148,554,456,114,374
191,158,587,478,117,405
185,151,566,461,125,366
192,164,583,467,115,413
199,159,572,467,124,389
209,156,605,523,123,438
187,157,578,447,131,383
194,152,594,517,138,400
192,154,580,478,124,401
198,154,556,491,118,369
179,142,552,442,130,357
187,149,593,465,131,386
184,155,550,464,109,379
189,159,593,471,123,409
189,149,558,465,116,392
184,154,547,428,124,411
197,159,574,474,133,414
192,152,557,456,110,350
196,148,572,466,120,392
195,162,588,494,128,379
194,150,577,477,131,427
185,160,595,450,134,444
200,162,588,486,123,424
190,147,584,457,117,400
184,168,577,462,124,416
177,142,544,428,112,357
177,165,595,443,120,395
187,155,562,438,120,411
173,147,571,451,124,396
178,155,586,430,117,422
193,154,571,482,107,395
189,152,570,495,115,424
193,159,590,490,125,386
197,152,582,463,127,383
201,154,571,504,125,377
184,164,587,464,125,451
186,150,553,467,127,394
191,147,576,492,124,390
180,146,559,445,108,388
184,152,551,429,126,422
190,156,574,454,124,392
192,147,552,483,126,396
192,158,574,475,120,416
183,151,584,464,119,358
184,158,563,451,110,377
